"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","GeoRooted","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"102","1","102","11","11","11","93.0000","8.0000","25.0000","0.0000","37.2022","38.0000","6.0000","26.9815"
"103","1","103","11","11","11","140.0000","9.0000","31.0000","0.0000","42.7317","48.0000","6.0000","34.1467"
"104","1","104","11","11","11","116.0000","9.0000","27.0000","0.0000","39.5727","40.0000","5.0000","30.9516"
"105","1","105","11","11","11","73.0000","8.0000","18.0000","0.0000","29.5973","26.0000","6.0000","21.9545"
"106","1","106","11","11","11","86.0000","9.0000","19.0000","0.0000","31.7175","32.0000","6.0000","24.2899"
"107","1","107","11","11","11","149.0000","9.0000","34.0000","0.0000","43.5431","50.0000","6.0000","34.8712"
"108","1","108","11","11","11","135.0000","9.0000","34.0000","0.0000","43.5660","46.0000","7.0000","33.8231"
"109","1","109","11","11","11","60.0000","8.0000","16.0000","0.0000","28.3549","26.0000","6.0000","19.3391"
"110","1","110","11","11","11","128.0000","9.0000","29.0000","0.0000","39.5221","36.0000","7.0000","31.8434"
"111","1","111","11","11","11","127.0000","9.0000","29.0000","0.0000","41.4488","46.0000","5.0000","32.6497"
"112","1","112","11","11","11","107.0000","8.0000","29.0000","0.0000","39.8497","40.0000","6.0000","29.0861"
"113","1","113","11","11","11","75.0000","9.0000","20.0000","0.0000","30.8869","28.0000","6.0000","22.1811"
"114","1","114","11","11","11","127.0000","9.0000","30.0000","0.0000","41.8808","42.0000","6.0000","32.6803"
"115","1","115","11","11","11","98.0000","9.0000","23.0000","0.0000","34.3802","30.0000","6.0000","26.0000"
"116","1","116","11","11","11","92.0000","9.0000","19.0000","0.0000","32.1870","28.0000","5.0000","25.8457"
"117","1","117","11","11","11","87.0000","9.0000","17.0000","0.0000","30.4959","26.0000","5.0000","24.6982"
"118","1","118","11","11","11","104.0000","9.0000","22.0000","0.0000","35.5246","34.0000","6.0000","28.3549"
"119","1","119","11","11","11","141.0000","9.0000","32.0000","0.0000","41.6413","44.0000","7.0000","33.6749"
"120","1","120","11","11","11","109.0000","9.0000","23.0000","0.0000","36.2215","36.0000","6.0000","29.0517"
